"","89grass","90grass","91grass","92grass","93grass","94grass","95grass","96grass","97grass","98grass","99grass","100grass","101grass","102grass","103grass","104grass","105grass","106grass","107grass","108grass","109grass","110grass","111grass","112grass","113grass","114grass","115grass","116grass","117grass","118grass","119grass","120grass","121grass","122grass","123grass","124grass","125grass","126grass","127grass","128grass","129grass","130grass","131grass","132grass","133grass","134grass","135grass","136grass","137grass","138grass","139grass","140grass","141grass","142grass","143grass","144grass","145grass","146grass","147grass","148grass","149grass","150grass","151grass","152grass","153grass","154grass","155grass","156grass","157grass","158grass","159grass"
"OTU2526:13grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU3439:5grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU500:6grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU46:7grass",0,0,0,0,0,1,0,0,1,0,0,0,0,0,941,507,155,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,44,1,94,0,1,0,11,4708,1,0,0,12,2046,87,5536,0,1065,5534,0,168,0,0,119,134,3515,49,282,0,1,152,1390,27,2688,353
"OTU67:5grass",0,0,391,28,0,0,0,0,36,78,599,0,1,0,0,0,0,0,0,269,2,22,0,0,37,0,0,187,0,288,217,75,315,23,194,312,113,30,0,0,108,0,0,1,0,0,0,89,27,0,0,0,92,65,0,0,39,1,1,19,0,0,15,0,13,11,2,0,136,0,0
"OTU182:5grass",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU156:13grass",0,176,0,0,0,0,0,0,0,0,0,0,0,0,1615,0,0,0,0,0,0,0,0,0,0,0,121,65,116,0,0,16,7,12,0,205,0,0,0,0,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU808:5grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"OTU222:130grass",0,0,1,75,1,0,0,0,3,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,489,380,1105,2,0,517,0,21,1,34,7,2,2,5,337,2,0,1,878,7692,451,133,75,0,2,471,462,210,1133,3068
"OTU742:5grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
