"","s.French_flat","s.Hazel_Dell","s.Horse_Rock","s.Lower_Table","s.Roxy_Ann","s.Upper_Table","s.Upper_Weir","s.Whetstone","s.Whidbey","index","stat","p.value"
"OTU1128:5grass",1,0,0,0,0,0,0,0,0,1,0.192897128868165,1
"OTU291:5grass",0,0,0,0,0,0,0,0,1,9,0.173750188908491,0.8568
"OTU3285:5grass",1,0,0,0,0,0,0,0,0,1,0.368861760277458,0.0087
"OTU1975:94grass",0,0,1,0,0,0,0,0,0,3,0.240185377765488,0.2201
"OTU370:45grass",0,0,1,0,0,0,0,0,0,3,0.313944448539976,0.028
"OTU3169:13grass",1,0,0,0,0,0,0,0,0,1,0.320195709590009,0.0305
"OTU111:5grass",0,0,0,0,1,0,0,0,0,5,0.523899009046989,1e-04
"OTU1038:91grass",1,0,0,0,0,0,0,0,0,1,0.335791156646217,0.0158
"OTU2012:18grass",0,0,0,0,0,1,0,0,0,6,0.485155691060349,3e-04
"OTU2318:55grass",0,0,0,0,0,0,1,0,0,7,0.777457910849127,1e-04
"OTU1462:16grass",1,0,0,0,0,0,0,0,0,1,0.328890891200523,0.0185
"OTU1127:93grass",1,0,0,0,0,0,0,0,0,1,0.198599842950434,0.4112
"OTU41:5grass",0,1,0,0,1,1,0,1,0,212,0.242937107362561,0.2047
"OTU173:5grass",0,1,0,0,0,0,0,0,0,2,0.191087395931247,0.6124
"OTU2902:5grass",1,0,0,0,0,0,0,0,0,1,0.192897128868165,1
"OTU181:5grass",0,0,0,0,0,0,1,0,1,44,0.404047554597036,0.0031
"OTU35:5grass",0,0,0,0,0,0,1,0,0,7,0.224470153967462,0.3876
"OTU227:6grass",1,0,0,0,0,0,0,0,0,1,0.336713933637691,0.0288
"OTU1097:5grass",1,0,0,0,0,0,0,0,0,1,0.286646958457437,0.0436
"OTU192:26grass",0,0,0,0,0,0,0,0,1,9,0.282692060614056,0.0697
"OTU380:5grass",0,1,0,0,0,0,0,0,0,2,0.329889324618184,0.0228
"OTU418:5grass",0,0,0,1,0,1,0,0,1,116,0.212373900509081,0.39
"OTU480:5grass",0,1,0,0,0,0,0,0,0,2,0.200372230548607,0.5021
"OTU2096:5grass",1,0,0,0,0,0,0,0,0,1,0.205364625299848,0.482
"OTU114:5grass",0,0,1,0,0,0,1,0,0,28,0.513797002895933,2e-04
"OTU1437:97grass",1,0,0,0,1,1,0,0,0,64,0.30594951841761,0.0363
"OTU2192:24grass",0,0,0,0,1,1,0,0,0,36,0.646528367085261,1e-04
"OTU496:5grass",0,0,0,0,1,0,0,0,0,5,0.270121732179854,0.109
"OTU3871:13grass",1,0,0,0,0,0,0,0,0,1,0.373698906632004,0.0062
"OTU2823:13grass",1,0,0,0,0,0,0,0,0,1,0.282469003711027,0.074
"OTU144:6grass",1,0,0,0,0,0,0,1,0,16,0.422268643241688,0.0012
"OTU2391:33grass",0,0,0,0,0,0,1,0,0,7,0.205377092153048,0.5302
"OTU548:5grass",0,0,1,0,0,0,1,0,0,28,0.409021111373124,0.0026
"OTU2959:5grass",1,0,0,0,0,0,0,0,0,1,0.192897128868165,1
"OTU332:5grass",1,0,0,1,0,0,0,1,0,62,0.248427427112342,0.1769
"OTU14:5grass",0,0,0,0,0,1,0,0,0,6,0.343519811803186,0.0274
"OTU2816:28grass",1,0,0,0,1,1,0,0,0,64,0.31741251610034,0.0269
"OTU2774:96grass",1,0,0,0,1,0,0,0,0,13,0.316728030505282,0.0261
"OTU2188:5grass",1,0,0,0,0,0,0,0,0,1,0.187446451542717,0.7644
"OTU2053:5grass",1,0,0,0,0,0,0,0,0,1,0.384537031742837,0.0084
"OTU216:21grass",0,0,0,0,1,0,0,0,0,5,0.280504587041979,0.0585
"OTU33:5grass",0,0,0,1,0,0,0,0,0,4,0.381525276569476,0.004
"OTU64:5grass",1,0,0,0,0,0,0,0,0,1,0.511372596361904,1e-04
"OTU66:6grass",0,1,0,0,0,0,0,0,1,24,0.360193195993186,0.0089
"OTU3263:67grass",0,0,0,0,0,0,0,0,1,9,0.30128902462104,0.04
"OTU174:5grass",0,1,0,0,0,0,0,0,0,2,0.232302433463045,0.4222
"OTU595:89grass",1,0,0,0,0,0,0,1,0,16,0.222426794933814,0.4374
"OTU1240:70grass",0,0,0,0,0,0,0,0,1,9,0.26582859381906,0.0876
"OTU63:5grass",0,0,0,0,0,0,1,0,0,7,0.286239679956476,0.0021
"OTU38:5grass",0,0,0,1,1,0,0,0,0,31,0.287281591952415,0.0607
"OTU3403:53grass",0,0,0,0,0,0,1,0,0,7,0.329060610866558,0.0177
"OTU81:17grass",0,1,0,0,0,0,0,0,0,2,0.271622148144934,0.0736
"OTU445:7grass",1,0,0,0,0,0,0,0,0,1,0.237341358121768,0.3813
"OTU485:64grass",1,0,0,0,0,0,0,1,1,73,0.165078835631997,0.8858
"OTU2767:91grass",1,0,0,0,1,1,0,0,0,64,0.346003321784285,0.0135
"OTU2432:53grass",0,0,0,0,0,0,1,0,0,7,0.370194172556325,0.0044
"OTU305:5grass",0,1,0,0,0,0,0,0,0,2,0.191692439681824,0.6372
"OTU3282:13grass",1,0,0,0,0,0,0,0,0,1,0.322412844938473,0.0332
"OTU2941:5grass",1,0,0,0,0,0,0,0,0,1,0.335672543318676,0.0088
"OTU2753:19grass",0,0,0,0,1,1,0,0,0,36,0.696461407667292,1e-04
"OTU161:5grass",0,1,0,0,0,0,0,0,0,2,0.290960076614592,0.0588
"OTU2256:105grass",0,0,0,1,0,0,0,1,0,34,0.552495254057762,1e-04
"OTU2758:159grass",0,0,0,0,0,0,0,0,1,9,0.415228301427604,0.001
"OTU2252:28grass",1,0,0,0,1,1,0,1,0,177,0.496082416366489,3e-04
"OTU1248:80grass",1,0,0,0,1,0,0,1,0,66,0.409772180270272,0.002
"OTU1510:9grass",1,0,0,0,0,0,0,0,0,1,0.283456387989877,0.0615
"OTU2377:5grass",1,0,1,0,0,0,1,0,0,56,0.175350245451678,0.8963
"OTU3289:5grass",1,0,0,0,0,0,0,0,0,1,0.192897128868165,1
"OTU28:5grass",0,0,0,0,0,0,0,1,0,8,0.50945622936809,1e-04
"OTU159:5grass",0,0,0,0,0,0,0,1,0,8,0.333739560693093,0.0172
"OTU1153:94grass",1,0,0,0,0,0,0,0,0,1,0.446494263457131,5e-04
"OTU1468:13grass",1,0,0,0,0,0,0,0,0,1,0.308595150358611,0.0366
"OTU2107:5grass",1,0,0,0,0,0,0,0,0,1,0.322832694147651,0.0452
"OTU230:18grass",0,1,0,0,0,1,0,0,1,91,0.403803251962788,0.0017
"OTU3304:26grass",0,0,0,0,0,0,0,0,1,9,0.421421242620084,7e-04
"OTU3389:113grass",0,0,0,1,0,0,0,1,0,34,0.309805174441917,0.0296
"OTU40:13grass",1,0,1,1,0,0,0,1,0,154,0.472516821804656,3e-04
"OTU482:5grass",0,0,1,0,0,0,0,0,0,3,0.198783911631426,0.5707
"OTU472:5grass",0,0,0,0,0,1,0,0,0,6,0.286518296786957,0.0352
"OTU1715:5grass",0,0,0,1,1,1,0,0,0,110,0.462365607458111,1e-04
"OTU439:21grass",0,0,1,0,0,0,0,0,1,30,0.196288761396009,0.5399
"OTU2177:14grass",1,0,0,0,1,0,0,0,0,13,0.297580553276955,0.0505
"OTU3720:13grass",1,0,0,0,0,0,0,0,0,1,0.373823348640331,0.0047
"OTU136:10grass",0,0,1,0,0,0,0,0,0,3,0.42787219098845,8e-04
"OTU1322:91grass",0,0,0,1,0,0,0,1,0,34,0.527161164390463,1e-04
"OTU117:5grass",1,0,0,0,0,0,0,0,0,1,0.188650375780626,0.6392
"OTU1914:100grass",1,0,0,0,0,0,0,0,0,1,0.337833770401863,0.0141
"OTU2516:8grass",1,0,0,0,1,1,0,1,0,177,0.477215097437049,2e-04
"OTU91:9grass",0,0,1,0,0,1,0,0,0,27,0.308440997426867,0.0406
"OTU2154:100grass",1,0,0,0,0,0,0,0,0,1,0.334326855278973,0.0164
"OTU3921:65grass",0,0,0,0,0,0,0,0,1,9,0.181488377750667,0.746
"OTU29:5grass",0,0,1,0,0,0,0,0,0,3,0.468141108128579,3e-04
"OTU1080:5grass",0,0,1,0,0,0,0,0,0,3,0.222901695994593,0.3261
"OTU2167:28grass",1,0,0,0,1,1,0,0,0,64,0.331419895054745,0.0196
"OTU2005:5grass",0,0,0,0,0,0,1,0,0,7,0.145764666824619,0.9193
"OTU865:5grass",1,0,0,0,0,0,0,0,0,1,0.320138945298908,0.0279
"OTU193:5grass",0,1,0,0,1,0,0,0,1,88,0.208509303900261,0.4566
"OTU233:26grass",0,0,0,0,0,0,0,0,1,9,0.40719358282675,0.0017
"OTU2254:89grass",1,0,0,0,1,0,0,1,0,66,0.406149031093351,0.002
"OTU1434:28grass",1,0,0,0,1,0,0,0,0,13,0.316380753043844,0.0261
"OTU3721:13grass",1,0,0,0,0,0,0,0,0,1,0.266342953459749,0.1398
"OTU190:17grass",0,0,1,0,1,0,0,0,0,26,0.258227166830638,0.1462
"OTU1822:5grass",1,0,0,0,0,0,0,0,0,1,0.271077735945036,0.0558
"OTU1769:43grass",0,0,0,0,0,0,1,0,0,7,0.269010595791064,0.1
"OTU3217:5grass",1,0,0,0,0,0,0,0,0,1,0.298607259021674,0.0408
"OTU2881:93grass",1,0,0,0,0,0,0,0,0,1,0.193150815195604,0.7103
"OTU1096:28grass",1,0,0,0,1,1,0,1,0,177,0.452654984284149,8e-04
"OTU116:5grass",0,0,0,0,0,0,0,0,1,9,0.262415336475003,0.1258
"OTU54:5grass",0,0,0,1,0,0,0,0,0,4,0.323091820468138,0.026
"OTU1349:5grass",1,0,0,0,0,0,0,0,0,1,0.357546068757559,0.0084
"OTU939:54grass",0,1,1,0,1,1,0,1,1,450,0.202641590217681,0.4746
"OTU3834:89grass",1,0,0,0,0,0,0,1,0,16,0.415220240360753,0.001
"OTU1490:117grass",0,0,0,1,0,0,0,1,0,34,0.546387278046477,1e-04
"OTU1615:5grass",0,0,0,1,1,1,0,0,0,110,0.353703152173007,0.0092
"OTU179:5grass",1,0,0,0,0,0,1,0,0,15,0.157239280320667,0.8682
"OTU1694:109grass",1,0,0,0,1,1,0,1,0,177,0.428159824464522,7e-04
"OTU3251:94grass",1,0,0,0,1,1,0,1,0,177,0.436721551854274,0.001
"OTU1709:93grass",1,0,0,0,0,0,0,0,0,1,0.20033056949214,0.4241
"OTU3357:5grass",1,0,0,0,0,0,0,0,0,1,0.259281489420866,0.1143
"OTU299:62grass",0,0,1,0,0,0,0,0,0,3,0.19132430984204,0.5694
"OTU94:5grass",0,1,1,0,0,0,0,1,0,78,0.408731406935237,0.001
"OTU1879:6grass",1,0,0,0,0,0,0,0,0,1,0.33196319826408,0.0309
"OTU104:53grass",1,0,0,0,0,0,0,0,0,1,0.205150204867715,0.384
"OTU2718:24grass",0,0,0,0,1,1,0,0,0,36,0.205913264906551,0.5233
"OTU42:5grass",1,1,0,0,0,0,0,1,0,51,0.393895989170417,0.0016
"OTU1410:56grass",0,0,0,0,0,0,0,0,1,9,0.421465522334049,5e-04
"OTU3162:102grass",0,0,0,1,0,0,0,1,0,34,0.457106989621385,2e-04
"OTU167:20grass",0,0,0,0,0,0,0,1,0,8,0.596212946398362,1e-04
"OTU2892:6grass",1,0,0,0,0,0,0,0,0,1,0.263021319399521,0.0693
"OTU205:15grass",0,1,1,0,1,0,0,0,0,75,0.170533803673952,0.7528
"OTU2657:5grass",0,0,0,0,1,1,0,0,0,36,0.494393257391426,2e-04
"OTU2089:27grass",0,0,0,0,1,1,0,0,0,36,0.517801412775946,2e-04
"OTU24:5grass",0,0,0,1,0,0,0,0,0,4,0.374805572643524,0.0076
"OTU366:22grass",0,1,0,1,1,1,0,0,0,201,0.260173342105478,0.1334
"OTU1946:107grass",1,0,0,0,1,1,0,1,0,177,0.475431707228281,6e-04
"OTU596:5grass",0,0,0,0,0,0,0,0,1,9,0.192727641395114,0.8744
