"","D. californica","F. roemeri"
"OTU496:5grass",1.65120539719476,23.4547533103914
"OTU144:6grass",22.1405095092242,86.7317154616994
"OTU332:5grass",5.80187446986989,21.4229427827971
"OTU2816:28grass",46.6397677476897,13.0282395394637
"OTU2774:96grass",47.015663080463,14.9059261082823
"OTU216:21grass",39.3090495051163,25.1158850866907
"OTU33:5grass",16.1456123453692,53.8605601517829
"OTU64:5grass",69.480726220257,63.2350893634688
"OTU66:6grass",20.2121389602555,19.3626613914112
"OTU174:5grass",0.37884456426892,0.839085775741466
"OTU38:5grass",45.8317905494907,43.7068811073127
"OTU81:17grass",1.17022865037128,2.15545477022163
"OTU445:7grass",2.64856729017828,31.3631436263355
"OTU2767:91grass",59.2700415178004,32.2882948583579
"OTU161:5grass",19.3880365314889,34.9972102474074
"OTU2256:105grass",29.7935368870208,10.0390014405009
"OTU2758:159grass",10.2504869270479,25.410762993892
"OTU2252:28grass",32.4670049403599,11.9371383993794
"OTU1248:80grass",54.9755883537184,32.9771767015172
"OTU28:5grass",84.5401046596397,96.8636353737742
"OTU159:5grass",12.7025708015918,40.315516370445
"OTU1153:94grass",38.2225588898811,15.9202238125511
"OTU230:18grass",9.08792024467036,18.5833348076103
"OTU3304:26grass",4.6278987607738,17.7188576914604
"OTU1715:5grass",0.667396554601534,5.15056075585145
"OTU439:21grass",5.78115089834408,0.839085775741466
"OTU2177:14grass",40.1712308211018,11.4921685808547
"OTU136:10grass",5.5706006036064,0.999798844650489
"OTU1322:91grass",18.9629409324338,12.3356051796851
"OTU117:5grass",31.1067454991251,2.37831709651014
"OTU1914:100grass",38.3344054568061,12.8895552425001
"OTU2516:8grass",31.1157735811558,22.4608751210832
"OTU91:9grass",10.4045375349334,14.6259034271751
"OTU2154:100grass",44.1739684915844,15.4361193906962
"OTU29:5grass",0.752798035233241,3.83233080422255
"OTU2167:28grass",22.5582029418065,7.76004286453643
"OTU865:5grass",5.96978645090651,19.9169851098993
"OTU193:5grass",7.34159325070002,22.6728962502873
"OTU2254:89grass",46.9099284539458,24.6202984957248
"OTU1434:28grass",39.8379705944585,14.8069982886876
"OTU2881:93grass",9.58285918782529,0.822443995752225
